Title,Year,Duration,Rating,Gross,Genre
Maleficent,2014,97 min,6.9,$241.41M,"Adventure, Family, Fantasy"
The Amazing Spider-Man,2012,136 min,6.9,$262.03M,"Action, Adventure, Sci-Fi"
The Hunger Games: Mockingjay - Part 1,2014,123 min,6.6,$337.14M,"Action, Adventure, Sci-Fi"
Shrek Forever After,2010,95 min,6.3,$238.37M,"Animation, Adventure, Comedy"
Gravity,2013,91 min,7.7,$274.09M,"Drama, Sci-Fi, Thriller"
Madagascar 3: Europe's Most Wanted,2012,95 min,6.8,$216.39M,"Animation, Adventure, Comedy"
Suicide Squad,2016,123 min,5.9,$325.10M,"Action, Adventure, Fantasy"
X-Men: Days of Future Past,2014,132 min,7.9,$233.92M,"Action, Adventure, Sci-Fi"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143 min,6.9,$291.71M,"Adventure, Family, Fantasy"
Monsters University,2013,104 min,7.2,$268.49M,"Animation, Adventure, Comedy"
The Matrix Reloaded,2003,138 min,7.2,$281.49M,"Action, Sci-Fi"
Up,2009,96 min,8.3,$293.00M,"Animation, Adventure, Comedy"
Ne Zha zhi mo tong jiang shi,2019,110 min,7.4,$3.70M,"Animation, Action, Adventure"
F9,2021,143 min,5.2,$173.20M,"Action, Crime, Thriller"
Captain America: The Winter Soldier,2014,136 min,7.8,$259.77M,"Action, Adventure, Sci-Fi"
The Twilight Saga: Breaking Dawn - Part 1,2011,117 min,4.9,$281.29M,"Adventure, Drama, Fantasy"
The Twilight Saga: New Moon,2009,130 min,4.7,$296.62M,"Adventure, Drama, Fantasy"
Dawn of the Planet of the Apes,2014,130 min,7.6,$208.55M,"Action, Adventure, Drama"
Transformers,2007,144 min,7,$319.25M,"Action, Adventure, Sci-Fi"
The Amazing Spider-Man 2,2014,142 min,6.6,$202.85M,"Action, Adventure, Sci-Fi"
It,2017,135 min,7.3,$327.48M,Horror
Liu lang di qiu,2019,125 min,5.9,$5.88M,"Action, Adventure, Sci-Fi"
The Twilight Saga: Eclipse,2010,124 min,5,$300.53M,"Action, Adventure, Drama"
Mission: Impossible - Ghost Protocol,2011,132 min,7.4,$209.40M,"Action, Adventure, Thriller"
Mamma Mia!,2008,108 min,6.5,$144.13M,"Comedy, Musical, Romance"
The Hunger Games,2012,142 min,7.2,$408.01M,"Action, Adventure, Sci-Fi"
Tang ren jie tan an 3,2021,136 min,5.6,,"Action, Adventure, Comedy"
Mission: Impossible - Rogue Nation,2015,131 min,7.4,$195.04M,"Action, Adventure, Thriller"
Forrest Gump,1994,142 min,8.8,$330.25M,"Drama, Romance"
Doctor Strange,2016,115 min,7.5,$232.64M,"Action, Adventure, Fantasy"
The Sixth Sense,1999,107 min,8.2,$293.51M,"Drama, Mystery, Thriller"
Man of Steel,2013,143 min,7.1,$291.05M,"Action, Adventure, Sci-Fi"
Ice Age: The Meltdown,2006,91 min,6.8,$195.33M,"Animation, Adventure, Comedy"
Kung Fu Panda 2,2011,90 min,7.2,$165.25M,"Animation, Action, Adventure"
Moana,2016,107 min,7.6,$248.76M,"Animation, Adventure, Comedy"
Justice League,2017,120 min,6.1,$229.02M,"Action, Adventure, Fantasy"
Big Hero 6,2014,102 min,7.8,$222.53M,"Animation, Action, Adventure"
Fantastic Beasts: The Crimes of Grindelwald,2018,134 min,6.5,$159.56M,"Adventure, Family, Fantasy"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,8.1,$305.41M,"Action, Adventure, Fantasy"
Men in Black 3,2012,106 min,6.8,$179.02M,"Action, Adventure, Comedy"
Star Wars: Episode II - Attack of the Clones,2002,142 min,6.6,$310.68M,"Action, Adventure, Fantasy"
The Hunger Games: Mockingjay - Part 2,2015,137 min,6.5,$281.72M,"Action, Adventure, Sci-Fi"
Thor: The Dark World,2013,112 min,6.8,$206.36M,"Action, Adventure, Fantasy"
Sing,2016,108 min,7.1,$270.40M,"Animation, Comedy, Family"
Kung Fu Panda,2008,92 min,7.6,$215.43M,"Animation, Action, Adventure"
The Incredibles,2004,115 min,8,$261.44M,"Animation, Action, Adventure"
The Martian,2015,144 min,8,$228.43M,"Adventure, Drama, Sci-Fi"
Hancock,2008,92 min,6.4,$227.95M,"Action, Comedy, Drama"
Chang jin hu zhi shui men qiao,2022,153 min,5.5,$0.12M,"Action, Drama, History"
Fast Five,2011,130 min,7.3,$209.84M,"Action, Crime, Thriller"
Iron Man 2,2010,124 min,6.9,$312.43M,"Action, Sci-Fi"
Ratatouille,2007,111 min,8.1,$206.45M,"Animation, Adventure, Comedy"
Ant-Man and the Wasp,2018,118 min,7,$216.65M,"Action, Adventure, Comedy"
How to Train Your Dragon 2,2014,102 min,7.8,$177.00M,"Animation, Action, Adventure"
Logan,2017,137 min,8.1,$226.28M,"Action, Drama, Sci-Fi"
The Lost World: Jurassic Park,1997,129 min,6.5,$229.09M,"Action, Adventure, Sci-Fi"
Casino Royale,2006,144 min,8,$167.45M,"Action, Adventure, Thriller"
The Passion of the Christ,2004,127 min,7.2,$370.78M,Drama
Life of Pi,2012,127 min,7.9,$124.99M,"Adventure, Drama, Fantasy"
Transformers: The Last Knight,2017,154 min,5.2,$130.17M,"Action, Adventure, Sci-Fi"
Madagascar: Escape 2 Africa,2008,89 min,6.6,$180.01M,"Animation, Adventure, Comedy"
War of the Worlds,2005,116 min,6.5,$234.28M,"Action, Adventure, Sci-Fi"
Tangled,2010,100 min,7.7,$200.82M,"Animation, Adventure, Comedy"
Ready Player One,2018,140 min,7.4,$137.69M,"Action, Adventure, Sci-Fi"
Quantum of Solace,2008,106 min,6.6,$168.37M,"Action, Adventure, Mystery"
Men in Black,1997,98 min,7.3,$250.69M,"Action, Adventure, Comedy"
The Croods,2013,98 min,7.2,$187.17M,"Animation, Action, Adventure"
The Hangover Part II,2011,102 min,6.5,$254.46M,Comedy
Iron Man,2008,126 min,7.9,$318.41M,"Action, Adventure, Sci-Fi"
I Am Legend,2007,101 min,7.2,$256.39M,"Action, Drama, Horror"
"Monsters, Inc.",2001,92 min,8.1,$289.92M,"Animation, Adventure, Comedy"
Hong hai xing dong,2018,142 min,6.6,$1.54M,"Action, Drama, Thriller"
Night at the Museum,2006,108 min,6.4,$250.86M,"Adventure, Comedy, Family"
Fifty Shades of Grey,2015,125 min,4.2,$166.17M,"Drama, Romance, Thriller"
Kong: Skull Island,2017,118 min,6.6,$168.05M,"Action, Adventure, Fantasy"
The Smurfs,2011,103 min,5.4,$142.61M,"Animation, Adventure, Comedy"
Cars 2,2011,106 min,6.2,$191.45M,"Animation, Adventure, Comedy"
King Kong,2005,187 min,7.2,$218.08M,"Action, Adventure, Drama"
Puss in Boots,2011,90 min,6.6,$149.26M,"Animation, Adventure, Comedy"
Mei ren yu,2016,94 min,6.2,$3.23M,"Comedy, Drama, Fantasy"
Armageddon,1998,151 min,6.7,$201.57M,"Action, Adventure, Sci-Fi"
The Day After Tomorrow,2004,124 min,6.4,$186.74M,"Action, Adventure, Sci-Fi"
Ted,2012,106 min,6.9,$218.82M,Comedy
American Sniper,2014,133 min,7.3,$350.13M,"Action, Biography, Drama"
Mission: Impossible II,2000,123 min,6.1,$215.41M,"Action, Adventure, Thriller"
Tang ren jie tan an 2,2018,121 min,6.1,$1.98M,"Action, Comedy, Mystery"
X-Men: Apocalypse,2016,144 min,6.9,$155.44M,"Action, Adventure, Sci-Fi"
Sherlock Holmes: A Game of Shadows,2011,129 min,7.4,$186.85M,"Action, Adventure, Mystery"
Despicable Me,2010,95 min,7.6,$251.51M,"Animation, Adventure, Comedy"
Cinderella,2015,105 min,6.9,$201.15M,"Adventure, Drama, Family"
Madagascar,2005,86 min,6.9,$193.60M,"Animation, Adventure, Comedy"
World War Z,2013,116 min,7,$202.36M,"Action, Adventure, Horror"
Brave,2012,93 min,7.1,$237.28M,"Animation, Adventure, Comedy"
The Empire Strikes Back,1980,124 min,8.7,$290.48M,"Action, Adventure, Fantasy"
The Simpsons Movie,2007,87 min,7.3,$183.14M,"Animation, Adventure, Comedy"
The Revenant,2015,156 min,8,$183.64M,"Action, Adventure, Drama"
The Meg,2018,113 min,5.6,$143.01M,"Action, Horror, Sci-Fi"
Ralph Breaks the Internet,2018,112 min,7,$201.09M,"Animation, Adventure, Comedy"
Hotel Transylvania 3: Summer Vacation,2018,97 min,6.3,$167.51M,"Animation, Adventure, Comedy"
The Boss Baby,2017,97 min,6.3,$175.00M,"Animation, Adventure, Comedy"
Dunkirk,2017,106 min,7.8,$188.37M,"Action, Drama, History"
The Grinch,2018,85 min,6.4,$270.62M,"Animation, Comedy, Family"
Godzilla,2014,123 min,6.4,$200.68M,"Action, Adventure, Sci-Fi"
How to Train Your Dragon: The Hidden World,2019,104 min,7.4,$160.80M,"Animation, Action, Adventure"
Sherlock Holmes,2009,128 min,7.6,$209.03M,"Action, Adventure, Mystery"
Meet the Fockers,2004,115 min,6.3,$279.26M,"Comedy, Romance"
WALL·E,2008,98 min,8.4,$223.81M,"Animation, Adventure, Family"
Kung Fu Panda 3,2016,95 min,7.1,$143.53M,"Animation, Action, Adventure"
Terminator 2: Judgment Day,1991,137 min,8.6,$204.84M,"Action, Sci-Fi"
Ant-Man,2015,117 min,7.3,$180.20M,"Action, Comedy, Sci-Fi"
Venom: Let There Be Carnage,2021,97 min,5.9,$213.55M,"Action, Sci-Fi, Thriller"
Ghost,1990,127 min,7.1,$217.63M,"Drama, Fantasy, Romance"
Aladdin,1992,90 min,8,$217.35M,"Animation, Adventure, Comedy"
Gladiator,2000,155 min,8.5,$187.71M,"Action, Adventure, Drama"
Rio 2,2014,101 min,6.3,$131.54M,"Animation, Adventure, Comedy"
Troy,2004,163 min,7.3,$133.38M,Drama
Toy Story 2,1999,92 min,7.9,$245.85M,"Animation, Adventure, Comedy"
How to Train Your Dragon,2010,98 min,8.1,$217.58M,"Animation, Action, Adventure"
Twister,1996,113 min,6.4,$241.72M,"Action, Adventure, Thriller"
Oz the Great and Powerful,2013,130 min,6.3,$234.91M,"Adventure, Family, Fantasy"
Clash of the Titans,2010,106 min,5.8,$163.21M,"Action, Adventure, Fantasy"
Maleficent: Mistress of Evil,2019,119 min,6.6,$113.93M,"Adventure, Family, Fantasy"
War for the Planet of the Apes,2017,140 min,7.4,$146.88M,"Action, Adventure, Drama"
Shrek,2001,90 min,7.9,$267.67M,"Animation, Adventure, Comedy"
Mr. & Mrs. Smith,2005,120 min,6.5,$186.34M,"Action, Comedy, Crime"
Angels & Demons,2009,138 min,6.7,$133.38M,"Action, Mystery, Thriller"
Teenage Mutant Ninja Turtles,2014,101 min,5.8,$191.20M,"Action, Adventure, Comedy"
Bruce Almighty,2003,101 min,6.8,$242.83M,"Comedy, Fantasy"
Rio,2011,96 min,6.9,$143.62M,"Animation, Adventure, Comedy"
Saving Private Ryan,1998,169 min,8.6,$216.54M,"Drama, War"
